
# Surface 0 of 1 surfaces

# Curve title: "$Pressure u 1:2:3"

# IsoCurve 0, 50 points
# x y z type
 2  0  0.011402 i
 2  0.0408163  0.00896922 i
 2  0.0816327  0.00894248 i
 2  0.122449  0.00898445 i
 2  0.163265  0.0090605 i
 2  0.204082  0.00927159 i
 2  0.244898  0.00923445 i
 2  0.285714  0.00915569 i
 2  0.326531  0.00918342 i
 2  0.367347  0.00923891 i
 2  0.408163  0.00932233 i
 2  0.44898  0.00955719 i
 2  0.489796  0.00943735 i
 2  0.530612  0.00951036 i
 2  0.571429  0.00960438 i
 2  0.612245  0.00971007 i
 2  0.653061  0.00980027 i
 2  0.693878  0.00994421 i
 2  0.734694  0.010116 i
 2  0.77551  0.0102945 i
 2  0.816327  0.0104863 i
 2  0.857143  0.0106723 i
 2  0.897959  0.0107783 i
 2  0.938776  0.0112582 i
 2  0.979592  0.011623 i
 2  1.02041  0.0120229 i
 2  1.06122  0.0124811 i
 2  1.10204  0.013078 i
 2  1.14286  0.0137726 i
 2  1.18367  0.0144906 i
 2  1.22449  0.0153555 i
 2  1.26531  0.016448 i
 2  1.30612  0.0182231 i
 2  1.34694  0.0212108 i
 2  1.38776  0.021205 i
 2  1.42857  0.0227841 i
 2  1.46939  0.0250457 i
 2  1.5102  0.0287496 i
 2  1.55102  0.0522824 i
 2  1.59184  0.0373809 i
 2  1.63265  0.0383271 i
 2  1.67347  0.0417916 i
 2  1.71429  0.0480098 i
 2  1.7551  0.0669259 i
 2  1.79592  0.0829796 i
 2  1.83673  0.066602 i
 2  1.87755  0.0657017 i
 2  1.91837  0.0698307 i
 2  1.95918  0.0867328 i
 2  2  7.04354e-14 o

# IsoCurve 1, 50 points
# x y z type
 1.33333  0  0.00607588 i
 1.33333  0.0408163  0.00609699 i
 1.33333  0.0816327  0.00611137 i
 1.33333  0.122449  0.00612462 i
 1.33333  0.163265  0.00614115 i
 1.33333  0.204082  0.00617036 i
 1.33333  0.244898  0.00613944 i
 1.33333  0.285714  0.00607104 i
 1.33333  0.326531  0.00602175 i
 1.33333  0.367347  0.00598537 i
 1.33333  0.408163  0.00596446 i
 1.33333  0.44898  0.00595569 i
 1.33333  0.489796  0.00583979 i
 1.33333  0.530612  0.00574707 i
 1.33333  0.571429  0.00566606 i
 1.33333  0.612245  0.00559586 i
 1.33333  0.653061  0.00554509 i
 1.33333  0.693878  0.00540905 i
 1.33333  0.734694  0.00523872 i
 1.33333  0.77551  0.00507575 i
 1.33333  0.816327  0.00491254 i
 1.33333  0.857143  0.00474769 i
 1.33333  0.897959  0.00454906 i
 1.33333  0.938776  0.00423551 i
 1.33333  0.979592  0.00392324 i
 1.33333  1.02041  0.00359275 i
 1.33333  1.06122  0.00322769 i
 1.33333  1.10204  0.00280045 i
 1.33333  1.14286  0.00232517 i
 1.33333  1.18367  0.00184742 i
 1.33333  1.22449  0.00133973 i
 1.33333  1.26531  0.000775042 i
 1.33333  1.30612  0.000101454 i
 1.33333  1.34694 -0.000588824 i
 1.33333  1.38776 -0.000987234 i
 1.33333  1.42857 -0.00143005 i
 1.33333  1.46939 -0.0019283 i
 1.33333  1.5102 -0.00252988 i
 1.33333  1.55102 -0.00337001 i
 1.33333  1.59184 -0.00333918 i
 1.33333  1.63265 -0.00332124 i
 1.33333  1.67347 -0.0033995 i
 1.33333  1.71429 -0.00358742 i
 1.33333  1.7551 -0.00397216 i
 1.33333  1.79592 -0.00394147 i
 1.33333  1.83673 -0.00330595 i
 1.33333  1.87755 -0.00282454 i
 1.33333  1.91837 -0.00252262 i
 1.33333  1.95918 -0.00227345 i
 1.33333  2 -0.000260327 o

# IsoCurve 2, 50 points
# x y z type
 0.666667  0  0.00267125 i
 0.666667  0.0408163  0.00268771 i
 0.666667  0.0816327  0.00269966 i
 0.666667  0.122449  0.0027007 i
 0.666667  0.163265  0.00269404 i
 0.666667  0.204082  0.00268656 i
 0.666667  0.244898  0.00263542 i
 0.666667  0.285714  0.00254767 i
 0.666667  0.326531  0.0024578 i
 0.666667  0.367347  0.00236351 i
 0.666667  0.408163  0.00226615 i
 0.666667  0.44898  0.00216146 i
 0.666667  0.489796  0.00197409 i
 0.666667  0.530612  0.00178819 i
 0.666667  0.571429  0.0015956 i
 0.666667  0.612245  0.00139347 i
 0.666667  0.653061  0.00118203 i
 0.666667  0.693878  0.000908783 i
 0.666667  0.734694  0.000606619 i
 0.666667  0.77551  0.000292666 i
 0.666667  0.816327 -4.03568e-05 i
 0.666667  0.857143 -0.000399101 i
 0.666667  0.897959 -0.000797665 i
 0.666667  0.938776 -0.00123097 i
 0.666667  0.979592 -0.00168272 i
 0.666667  1.02041 -0.00216265 i
 0.666667  1.06122 -0.00268223 i
 0.666667  1.10204 -0.00326442 i
 0.666667  1.14286 -0.00381197 i
 0.666667  1.18367 -0.0043568 i
 0.666667  1.22449 -0.00493025 i
 0.666667  1.26531 -0.00554123 i
 0.666667  1.30612 -0.00621258 i
 0.666667  1.34694 -0.00686215 i
 0.666667  1.38776 -0.00731267 i
 0.666667  1.42857 -0.00778733 i
 0.666667  1.46939 -0.00827723 i
 0.666667  1.5102 -0.0087901 i
 0.666667  1.55102 -0.00936157 i
 0.666667  1.59184 -0.00951013 i
 0.666667  1.63265 -0.00964606 i
 0.666667  1.67347 -0.00978855 i
 0.666667  1.71429 -0.00992337 i
 0.666667  1.7551 -0.010054 i
 0.666667  1.79592 -0.00999025 i
 0.666667  1.83673 -0.0097081 i
 0.666667  1.87755 -0.009383 i
 0.666667  1.91837 -0.00900449 i
 0.666667  1.95918 -0.00848881 i
 0.666667  2 -0.00726608 o

# IsoCurve 3, 50 points
# x y z type
 0  0  0.004906 i
 0  0.0408163  0.00174194 i
 0  0.0816327  0.00163919 i
 0  0.122449  0.00162162 i
 0  0.163265  0.00166074 i
 0  0.204082  0.00200559 i
 0  0.244898  0.00186956 i
 0  0.285714  0.00150917 i
 0  0.326531  0.00137731 i
 0  0.367347  0.001309 i
 0  0.408163  0.00137575 i
 0  0.44898  0.0028296 i
 0  0.489796  0.00103968 i
 0  0.530612  0.00074572 i
 0  0.571429  0.000549573 i
 0  0.612245  0.000432943 i
 0  0.653061  0.000864597 i
 0  0.693878  0.000174915 i
 0  0.734694 -0.000397029 i
 0  0.77551 -0.000757465 i
 0  0.816327 -0.00106116 i
 0  0.857143 -0.00122776 i
 0  0.897959 -0.000960656 i
 0  0.938776 -0.00224147 i
 0  0.979592 -0.0028019 i
 0  1.02041 -0.00331545 i
 0  1.06122 -0.00381773 i
 0  1.10204 -0.0041038 i
 0  1.14286 -0.00510748 i
 0  1.18367 -0.00584228 i
 0  1.22449 -0.00657662 i
 0  1.26531 -0.00738786 i
 0  1.30612 -0.00847383 i
 0  1.34694 -0.0100486 i
 0  1.38776 -0.0103175 i
 0  1.42857 -0.0112238 i
 0  1.46939 -0.0123753 i
 0  1.5102 -0.0140341 i
 0  1.55102 -0.0226629 i
 0  1.59184 -0.017702 i
 0  1.63265 -0.018411 i
 0  1.67347 -0.0200628 i
 0  1.71429 -0.0228018 i
 0  1.7551 -0.0305657 i
 0  1.79592 -0.0383215 i
 0  1.83673 -0.0331116 i
 0  1.87755 -0.0337455 i
 0  1.91837 -0.0376108 i
 0  1.95918 -0.0515635 i
 0  2 -3.9073e-14 o

