
# Surface 0 of 1 surfaces

# Curve title: "'-'"

# IsoCurve 0, 10 points
# x y z type
 2  0  1e-06 o
 2  0.216667  4.456e-06 o
 2  0.433333  2.53567e-05 o
 2  0.65  0.00015 o
 2  0.866667  0.000719384 o
 2  1.08333  0.00269328 o
 2  1.3  0.008069 o
 2  1.51667  0.0203192 o
 2  1.73333  0.0491626 o
 2  1.95  0.131986 o

# IsoCurve 1, 10 points
# x y z type
 1.77778  0  1.42275e-06 i
 1.77778  0.216667  2.48275e-06 i
 1.77778  0.433333  2.14973e-05 i
 1.77778  0.65  0.000132135 i
 1.77778  0.866667  0.00062632 i
 1.77778  1.08333  0.00232033 i
 1.77778  1.3  0.00677252 i
 1.77778  1.51667  0.0158486 i
 1.77778  1.73333  0.029427 i
 1.77778  1.95  0.0371663 i

# IsoCurve 2, 10 points
# x y z type
 1.55556  0  1.80096e-07 i
 1.55556  0.216667  2.03444e-06 i
 1.55556  0.433333  1.40206e-05 i
 1.55556  0.65  8.42675e-05 i
 1.55556  0.866667  0.00039084 i
 1.55556  1.08333  0.0014035 i
 1.55556  1.3  0.00385209 i
 1.55556  1.51667  0.00789601 i
 1.55556  1.73333  0.0108361 i
 1.55556  1.95  0.00671462 i

# IsoCurve 3, 10 points
# x y z type
 1.33333  0  3.57507e-07 i
 1.33333  0.216667  1.0294e-06 i
 1.33333  0.433333  6.27948e-06 i
 1.33333  0.65  3.82055e-05 i
 1.33333  0.866667  0.00017543 i
 1.33333  1.08333  0.000609863 i
 1.33333  1.3  0.00157994 i
 1.33333  1.51667  0.00292691 i
 1.33333  1.73333  0.00338198 i
 1.33333  1.95  0.00110567 i

# IsoCurve 4, 10 points
# x y z type
 1.11111  0  2.44345e-07 i
 1.11111  0.216667 -4.57924e-08 i
 1.11111  0.433333  1.85943e-06 i
 1.11111  0.65  1.01006e-05 i
 1.11111  0.866667  4.5837e-05 i
 1.11111  1.08333  0.000153644 i
 1.11111  1.3  0.000385367 i
 1.11111  1.51667  0.000675929 i
 1.11111  1.73333  0.000723175 i
 1.11111  1.95  0.000209785 i

# IsoCurve 5, 10 points
# x y z type
 0.888889  0  2.63485e-07 i
 0.888889  0.216667  2.37342e-08 i
 0.888889  0.433333 -1.86081e-06 i
 0.888889  0.65 -1.01113e-05 i
 0.888889  0.866667 -4.37034e-05 i
 0.888889  1.08333 -0.000148952 i
 0.888889  1.3 -0.000371659 i
 0.888889  1.51667 -0.000645577 i
 0.888889  1.73333 -0.000678978 i
 0.888889  1.95 -0.000188839 i

# IsoCurve 6, 10 points
# x y z type
 0.666667  0  4.30623e-07 i
 0.666667  0.216667 -1.08228e-06 i
 0.666667  0.433333 -6.26085e-06 i
 0.666667  0.65 -3.82031e-05 i
 0.666667  0.866667 -0.000172101 i
 0.666667  1.08333 -0.000597655 i
 0.666667  1.3 -0.00154373 i
 0.666667  1.51667 -0.0028429 i
 0.666667  1.73333 -0.00324444 i
 0.666667  1.95 -0.00100871 i

# IsoCurve 7, 10 points
# x y z type
 0.444444  0  4.84095e-08 i
 0.444444  0.216667 -1.35925e-06 i
 0.444444  0.433333 -1.40046e-05 i
 0.444444  0.65 -8.2305e-05 i
 0.444444  0.866667 -0.00038412 i
 0.444444  1.08333 -0.00137657 i
 0.444444  1.3 -0.00376881 i
 0.444444  1.51667 -0.0076973 i
 0.444444  1.73333 -0.0104656 i
 0.444444  1.95 -0.0042529 i

# IsoCurve 8, 10 points
# x y z type
 0.222222  0 -2.53428e-07 i
 0.222222  0.216667 -2.55705e-06 i
 0.222222  0.433333 -2.10477e-05 i
 0.222222  0.65 -0.000130184 i
 0.222222  0.866667 -0.000615549 i
 0.222222  1.08333 -0.00227729 i
 0.222222  1.3 -0.00663732 i
 0.222222  1.51667 -0.0155174 i
 0.222222  1.73333 -0.0288035 i
 0.222222  1.95 -0.0257815 i

# IsoCurve 9, 10 points
# x y z type
 0  0 -1e-06 i
 0  0.216667 -4.79752e-06 i
 0  0.433333 -2.58401e-05 i
 0  0.65 -0.000148 i
 0  0.866667 -0.000707757 i
 0  1.08333 -0.00264476 i
 0  1.3 -0.007912 i
 0  1.51667 -0.0199341 i
 0  1.73333 -0.0484806 i
 0  1.95 -0.212602 i

